处理人,caseId,标题,处理意见
黄志远,,【中金财富】kafka开市期间存在积压，消费速度慢,找到对应的文档 看是否已涵盖这部分内容
杨龙伟,103-4504,【价值网络】数据检索中网络请求查询一天数据报错以及查询数据慢,新的record模型中是否map替换为json
杨龙伟,103-4524,【南海农商行】页面数据时有时无,ck文件读写问题 需要持续跟进
杨龙伟,103-4485,【湖南银行】生产环境consumer组件异常掉线，启起来之后又自己挂掉了,consumer 消费限流熔断机制要完善
杨龙伟,103-4493,【工商银行】ck集群某个副本数据库未同步 - 太平金科 6140 arm版本无法启动问题,额外提供一个打包调试机（X86：16C 32G 1T；ARM：16C 32G 1T）；CI过程中异常要中断
,103-4535,中金财富-客户web应用部分js错误没有显示堆栈,对外文档 确定是否完善
,103-4555,【建信人寿】,ptrace触发了安全告警，不定日期的凌晨1点会触发调用，什么情况下会触发调用，能否删除？
成耀,,中移互联网 nebula迁移问题,文档需要完善
,103-4419,【中国人寿】平台各个模块查询数据一会儿能查到，一会儿查不到,正常fetch part，副本拉取差量part，并发过高，先提供文档，什么现象下怎么操作，后续频次高的话在看怎么自动化根治
,,ZH-系统和服务实例列表突然不显示问题,nebula问题，keeper文件决定使用新旧密码的问题
,103-4222,【广东联通】click house无法启动 历史版本 wal问题 华为部署问题,超版秋季版 脚本与版本不匹配问题
,,天津银行漏洞修复,漏洞确认问题
,103-4416,【中化信息】相同时间段的数据，点击刷新之后展示的内容不同,最新值 使用argmax 实际使用的是last问题
,103-4478,【极兔速递】nebula_storaged 内存占用大,dbconnectpool 数据量过大；客户现场临时关闭；CMDB存在未拦住的情况需要优化；管网删除数据支持 - DDL操作提供文档答疑；中移删除数据支持 - DDL操作提供文档答疑
,103-4582,【日电信息】最近十分钟调用链无数据,写入挤压，2.145版本太老，直接提供扩容建议
,,公有云 druid 环境问题 内存高 磁盘使用率 磁盘IO,简化过程 给志远减负
